,0
126,nlakshmi vila bank anoth top level exit chief financi offic sundar resign post tuesday r n tthe bank face massiv crisi seen quit resign board top manag year document write document write googletag cmd push googletag defineoutofpageslot addservic googletag pubad enablesyncrend googletag enableservic n ngoogletag cmd push googletag display n nvar banheight height height next next remov displayconbann n r n tin august bank chief execut offic parthasarathi mukherje resign posit cite person reason n r n follow supriya prakash sen independ director resign board octob anuradha pradeep non execut non independ dof bank quit novemb n r n tit mau recal sen quit day rbi initi prompt correct action privat sector lender septemb apex bank brought lvb pca lender high level bad loan insuffici capit manag risk neg return assset two year trot n r n tto make matter wors lvb central bank octob reject merger propos lender indiabul hous financ merger propos receiv necessari approv nod bank regul pend sinc may n r n tin august bank chief execut offic parthasarathi mukherje resign posit cite person reason r n follow supriya prakash sen independ director resign board octob anuradha pradeep non execut non independ dof bank quit novemb r n tit mau recal sen quit day rbi initi prompt correct action privat sector lender septemb apex bank brought lvb pca lender high level bad loan insuffici capit manag risk neg return assset two year trot r n tto make matter wors lvb central bank octob reject merger propos lender indiabul hous financ merger propos receiv necessari approv nod bank regul pend sinc may
127,r n tnon food credit growth bank slow per cent rs trillion novemb accord latest data reserv bank india r n tthe credit grown per cent rs trillion correspond month previou year document write document write googletag cmd push googletag defineoutofpageslot addservic googletag pubad enablesyncrend googletag enableservic n ngoogletag cmd push googletag display n nvar banheight height height next next remov displayconbann n r n tcredit growth industri fell per cent rs trillion novemb per cent correspond month n r n within industri credit growth food process textil gem jewelleri chemic chemic product infrastructur construct deceler contract rbi said releas tuesday n r n thowev credit growth rubber plastic product cement cement product acceler month n r n tloan agricultur alli activ slow per cent novemb per cent last year n r n tadvanc servic sector deceler sharpli per cent per cent last year n r n tperson loan grew margin lower rate per cent novemb compar per cent data show n r n trate agenc icra recent report said credit expans may plummet six decad low per cent compar per cent previou financi year n r n tcredit growth industri fell per cent rs trillion novemb per cent correspond month r n within industri credit growth food process textil gem jewelleri chemic chemic product infrastructur construct deceler contract rbi said releas tuesday r n thowev credit growth rubber plastic product cement cement product acceler month r n tloan agricultur alli activ slow per cent novemb per cent last year r n tadvanc servic sector deceler sharpli per cent per cent last year r n tperson loan grew margin lower rate per cent novemb compar per cent data show r n trate agenc icra recent report said credit expans may plummet six decad low per cent compar per cent previou financi year
128,r n tthe reserv bank tuesday ask urban cooper bank deposit rs crore constitut board manag compris expert overse function r n tthe decis assum signific backdrop scam punjab maharashtra cooper bank lead hardship lakh depositor document write document write googletag cmd push googletag defineoutofpageslot addservic googletag pubad enablesyncrend googletag enableservic n ngoogletag cmd push googletag display n nvar banheight height height next next remov displayconbann n r n tunder present legal framework board director ucb perform execut supervisori role respons overse function ucb co oper societi well function bank n r n sinc ucb accept public deposit imper separ mechan put place protect interest depositor rbi said n r n ta per guidelin bom shall board manag everi ucb deposit size rs crore addit board director n r n tthe bom constitut board director ucb concern within one year ad n r n tthe bom minimum five member maximum ceo would non vote member n r n bom shall exercis oversight bank relat function ucb assist bod formul polici relat matter specif deleg board proper function bank rbi said n r n ta per guidelin rbi power remov member bom ceo person found meet criteria prescrib act manner detriment interest bank depositor n r n tfollow exposur scam pmc bank lakh depositor rbi impos restrict withdraw n r n tstatutori inspect pmc rbi reveal larg group exposur rs crore hous develop infrastructur ltd group compani n r n tof total exposur hdil group rs crore disclos rbi rs crore remain undisclos n r n tmeanwhil rbi issu comprehens cyber secur framework ucb n r n tthe framework ucb formul base grade approach n r n tthey categoris four level base digit depth interconnected payment system landscap n r n tunder present legal framework board director ucb perform execut supervisori role respons overse function ucb co oper societi well function bank r n sinc ucb accept public deposit imper separ mechan put place protect interest depositor rbi said r n ta per guidelin bom shall board manag everi ucb deposit size rs crore addit board director r n tthe bom constitut board director ucb concern within one year ad r n tthe bom minimum five member maximum ceo would non vote member r n bom shall exercis oversight bank relat function ucb assist bod formul polici relat matter specif deleg board proper function bank rbi said r n ta per guidelin rbi power remov member bom ceo person found meet criteria prescrib act manner detriment interest bank depositor r n tfollow exposur scam pmc bank lakh depositor rbi impos restrict withdraw r n tstatutori inspect pmc rbi reveal larg group exposur rs crore hous develop infrastructur ltd group compani r n tof total exposur hdil group rs crore disclos rbi rs crore remain undisclos r n tmeanwhil rbi issu comprehens cyber secur framework ucb r n tthe framework ucb formul base grade approach r n tthey categoris four level base digit depth interconnected payment system landscap
129,r n tthe crippl non bank financi compani hope better day new year expect liquid condit improv back variou measur announc govern reserv bank r n tasset qualiti pressur liquid squeez asset liabil mismatch higher borrow cost rise default level rate downgrad made tumultu year nbfc shadow bank document write document write googletag cmd push googletag defineoutofpageslot addservic googletag pubad enablesyncrend googletag enableservic n ngoogletag cmd push googletag display n nvar banheight height height next next remov displayconbann n r n thave badli lost year sinc industri major il fs went belli septemb nbfc expect fiscal monetari measur help come deep tunnel regain lost import financi system key financi intermediari deliv last mile credit needi n r n outlook posit govern rbi alreadi announc lot measur help nbfc sector say shriram transport financ manag director umesh revankar n r n tto allevi stress sector govern rbi announc sever measur allow bank provid partial credit enhanc bond issu nbfc relax minimum hold period encourag loan securitis n r n tother measur includ end use restrict extern commerci borrow loan co origin bank introduct liquid coverag ratio one time partial credit guarante scheme among other n r n tthe amend rbi act gave central bank power strengthen govern nbfc protect depositor creditor interest secur financi stabil law empow rbi remov director nbfc supersed board appoint administr improv govern protect interest depositor creditor n r n tafter collaps il fs owe close rs lakh crore system nbfc sector wit third largest mortgag lender dewan hous financ go belli put risk close rs lakh crore lender bondhold fix depositor n r n tiron dhfl becom first nbfc hous financ compani sent bankruptci follow amend section bankruptci code mid novemb n r n tthere delay repay debt instrument nbfc name altico capit religar finvest relianc home financ year n r n tto stop big nbfc collaps rbi start keep close vigil top nbfc repres per cent asset size sector n r n say amount confid fairli good idea vulner lie vulner nbfc monitor intens rbi governor shaktikanta da told report decemb polici review n r n reserv bank wherev necessari hesit act ensur allow larg system import nbfc collaps da assur n r n tbut everybodi page blame govern rbi underestim graviti problem let crisi blow n r n tthe asset qualiti nbfc deterior gross non perform asset increas per cent septemb per cent march accord latest financi stabil report rbi net npa ratio howev remain steadi per cent march septemb n r n ta major collater damag nbfc abil tap market rais capit crisi dent investor confid sector forc reli bank fund requir n r n ta septemb share bank borrow nbfc total borrow rs lakh crore increas per cent rs lakh crore n r n never shi away lend nbfc variou mode like pool buyout lend continu fund nbfc good rate abl manag asset liabil mismatch say head public sector bank n r n trate agenc crisil recent note said asset manag nbfc may fall decad low per cent fy compar around per cent last fiscal n r n tthi de growth account rise borrow cost de risk loan book slow economi crisil said n r n tbut mani sector observ howev feel liquid stress may continu one year absenc refin window n r n tthe sector ask special refin widow meet cash need govern far given demand n r n import nbfc cannot ignor provid last mile fund henc need credit must taken care admit banker n r n thave badli lost year sinc industri major il fs went belli septemb nbfc expect fiscal monetari measur help come deep tunnel regain lost import financi system key financi intermediari deliv last mile credit needi r n outlook posit govern rbi alreadi announc lot measur help nbfc sector say shriram transport financ manag director umesh revankar r n tto allevi stress sector govern rbi announc sever measur allow bank provid partial credit enhanc bond issu nbfc relax minimum hold period encourag loan securitis r n tother measur includ end use restrict extern commerci borrow loan co origin bank introduct liquid coverag ratio one time partial credit guarante scheme among other r n tthe amend rbi act gave central bank power strengthen govern nbfc protect depositor creditor interest secur financi stabil law empow rbi remov director nbfc supersed board appoint administr improv govern protect interest depositor creditor r n tafter collaps il fs owe close rs lakh crore system nbfc sector wit third largest mortgag lender dewan hous financ go belli put risk close rs lakh crore lender bondhold fix depositor r n tiron dhfl becom first nbfc hous financ compani sent bankruptci follow amend section bankruptci code mid novemb r n tthere delay repay debt instrument nbfc name altico capit religar finvest relianc home financ year r n tto stop big nbfc collaps rbi start keep close vigil top nbfc repres per cent asset size sector r n say amount confid fairli good idea vulner lie vulner nbfc monitor intens rbi governor shaktikanta da told report decemb polici review r n reserv bank wherev necessari hesit act ensur allow larg system import nbfc collaps da assur r n tbut everybodi page blame govern rbi underestim graviti problem let crisi blow r n tthe asset qualiti nbfc deterior gross non perform asset increas per cent septemb per cent march accord latest financi stabil report rbi net npa ratio howev remain steadi per cent march septemb r n ta major collater damag nbfc abil tap market rais capit crisi dent investor confid sector forc reli bank fund requir r n ta septemb share bank borrow nbfc total borrow rs lakh crore increas per cent rs lakh crore r n never shi away lend nbfc variou mode like pool buyout lend continu fund nbfc good rate abl manag asset liabil mismatch say head public sector bank r n trate agenc crisil recent note said asset manag nbfc may fall decad low per cent fy compar around per cent last fiscal r n tthi de growth account rise borrow cost de risk loan book slow economi crisil said r n tbut mani sector observ howev feel liquid stress may continu one year absenc refin window r n tthe sector ask special refin widow meet cash need govern far given demand r n import nbfc cannot ignor provid last mile fund henc need credit must taken care admit banker
130,r n twhile offici date merger public sector bank quarter away lender get merg seek new name r n taccord sourc unit bank india written govern seek new name entiti form merger punjab nation bank orient bank commerc document write document write googletag cmd push googletag defineoutofpageslot addservic googletag pubad enablesyncrend googletag enableservic n ngoogletag cmd push googletag display n nvar banheight height height next next remov displayconbann n r n tsyndic bank merg canara bank also plan write govern seek new name merg entiti accord top offici bank n r n tnotabl merger vijaya bank dena bank bank baroda logo three lender retain bob promin display taglin power three n r n thowev time non anchor bank favour bank baroda like brand n r n name captur ident three bank made request govern new name accord top offici unit bank india n r n tnotabl committe look brand exercis case pnb obc unit bank india merger also look seek help extern agenc appropri name merg entiti n r n demand section employe retain ident syndic bank one form merg entiti howev manag far taken decis said mrutunjay mahapatra md ceo syndic bank n r n thowev case merger indian bank allahabad bank latter suggest retain logo bank instead new name altogeth n r n new name altogeth brand recal valu impact like impact global oper accord senior offici allahabad bank n r n tunder mega merger plan announc union financ minist nirmala sitharaman psb merg four n npunjab nation bank orient bank commerc unit bank india combin form nation second largest lender canara bank syndic bank amalgam bank union bank india amalgam andhra bank corpor bank indian bank amalgam allahabad bank anchor bank would pnb canara bank union bank indian bank n r n tthe chang bank name would long drawn process would need parliamentari approv gazett notif april set deadlin complet merger process n r n tsyndic bank merg canara bank also plan write govern seek new name merg entiti accord top offici bank r n tnotabl merger vijaya bank dena bank bank baroda logo three lender retain bob promin display taglin power three r n thowev time non anchor bank favour bank baroda like brand r n name captur ident three bank made request govern new name accord top offici unit bank india r n tnotabl committe look brand exercis case pnb obc unit bank india merger also look seek help extern agenc appropri name merg entiti r n demand section employe retain ident syndic bank one form merg entiti howev manag far taken decis said mrutunjay mahapatra md ceo syndic bank r n thowev case merger indian bank allahabad bank latter suggest retain logo bank instead new name altogeth r n new name altogeth brand recal valu impact like impact global oper accord senior offici allahabad bank r n tunder mega merger plan announc union financ minist nirmala sitharaman psb merg four npunjab nation bank orient bank commerc unit bank india combin form nation second largest lender canara bank syndic bank amalgam bank union bank india amalgam andhra bank corpor bank indian bank amalgam allahabad bank anchor bank would pnb canara bank union bank indian bank r n tthe chang bank name would long drawn process would need parliamentari approv gazett notif april set deadlin complet merger process
131,r n twhen narendra modi govern stump sudden resign urjit patel parachut retir bureaucrat shaktikanta da rbi decemb mani expect great lull public acrimoni mar day academ illustri predecessor patel raghuram rajan r n tand histori graduat da parodi initi day disappoint th governor central bank complet one year helm decemb document write document write googletag cmd push googletag defineoutofpageslot addservic googletag pubad enablesyncrend googletag enableservic n ngoogletag cmd push googletag display n nvar banheight height height next next remov displayconbann n r n tbut challeng galor nation chief money man da record set rate cut allevi credit crisi especi shadow bank space turmoil cooper bank sector due pmc scam n r n talso fall growth spiral inflat critic challeng face reserv bank india new year n r n tso far fiscal bank credit grown per cent per cent year ago might plung year low per cent march latest project anyth go n r n tit fiscal credit demand lower record time stood per cent n r n tiron reserv bank india slash rate faster economi turtl hit quarter low per cent septemb quarter n r n teven eas rate rbi slash growth estim unpreced basi point sinc rate cut cycl began februari low per cent n r n tsimilar loss face inflat front hover glide path year suddenli screech peg sharpli higher per cent n r n tda econom affair secretari manag note ban mayhem elan govern rbi could temper rais temper central bank govern primarili gave lot space north block n r n tbe histor cash transfer set bimal jalan panel decemb take crippl state run bank rbi radar get new npa framework place june open special financ window msme n r n tunder governorship da silenc ever hungri market north block mandarin basi point reduct interest rate five success rate cut n r n thowev central bank youngest deputi governor ever viral acharya quit six month three year term end june n r n tbut know da includ rbi staff fulli back work style glasnost n r n trbi central board member sachin chaturvedi describ da person bring pragmat commit transpar sincer tabl n r n da succeed get govern functionari togeth made board cohes platform told pti n r n tda also settl autonomi issu contenti said far decis make concern take final call issu taken rbi per cent autonom decis make n r n nobodi interfer decis make da said septemb n r n tthe rbi da instrument diversifi liquid manag toolkit launch dollar rupe swap auction buy dollar releas equival amount rupe system eas liquid n r n tand latest contain rupe volatil bond spike open market oper twist rbi buy sell equal quantum gilt n r n tallow non resid particip rupe interest rate deriv market make neft x free among decis year n r n trbi also put foot declin rais retir age privat sector bank ceo year refus green signal indiabul takeov bid crippl lakshmi vila bank said uday kotak convolut stake dilut move kotak mahindra bank last matter bombay high court n r n tthe apex bank also got regulatori power nhb follow crisi dhfl also first non bank financ compani refer insolv proceed n r n tit also forc bank link fresh retail loan extern benchmark follow repo rate made benchmark loan price n r n twhile rbi credit see slowdown come cut rate appar fault anticip sever econom slump n r n thowev central bank unexpectedli paus rate cut decemb indic rbi wait budget qualiti fiscal deficit quantum balanc sheet borrow among other n r n thave work three financ minist da also made long stormi rbi board meet non event time consult process even made clear central bank cheer leader anyon n r n tall said difficult say whether year floccinaucinihilipilif da maintain panglossian counten smile away everi difficulti n r n tmonetari polici committe chetan ghate use letter word floccinaucinihilipilif refer action estim someth worthless n r n tthe new year might clear direct answer panglossian way n r n tbut challeng galor nation chief money man da record set rate cut allevi credit crisi especi shadow bank space turmoil cooper bank sector due pmc scam r n talso fall growth spiral inflat critic challeng face reserv bank india new year r n tso far fiscal bank credit grown per cent per cent year ago might plung year low per cent march latest project anyth go r n tit fiscal credit demand lower record time stood per cent r n tiron reserv bank india slash rate faster economi turtl hit quarter low per cent septemb quarter r n teven eas rate rbi slash growth estim unpreced basi point sinc rate cut cycl began februari low per cent r n tsimilar loss face inflat front hover glide path year suddenli screech peg sharpli higher per cent r n tda econom affair secretari manag note ban mayhem elan govern rbi could temper rais temper central bank govern primarili gave lot space north block r n tbe histor cash transfer set bimal jalan panel decemb take crippl state run bank rbi radar get new npa framework place june open special financ window msme r n tunder governorship da silenc ever hungri market north block mandarin basi point reduct interest rate five success rate cut r n thowev central bank youngest deputi governor ever viral acharya quit six month three year term end june r n tbut know da includ rbi staff fulli back work style glasnost r n trbi central board member sachin chaturvedi describ da person bring pragmat commit transpar sincer tabl r n da succeed get govern functionari togeth made board cohes platform told pti r n tda also settl autonomi issu contenti said far decis make concern take final call issu taken rbi per cent autonom decis make r n nobodi interfer decis make da said septemb r n tthe rbi da instrument diversifi liquid manag toolkit launch dollar rupe swap auction buy dollar releas equival amount rupe system eas liquid r n tand latest contain rupe volatil bond spike open market oper twist rbi buy sell equal quantum gilt r n tallow non resid particip rupe interest rate deriv market make neft x free among decis year r n trbi also put foot declin rais retir age privat sector bank ceo year refus green signal indiabul takeov bid crippl lakshmi vila bank said uday kotak convolut stake dilut move kotak mahindra bank last matter bombay high court r n tthe apex bank also got regulatori power nhb follow crisi dhfl also first non bank financ compani refer insolv proceed r n tit also forc bank link fresh retail loan extern benchmark follow repo rate made benchmark loan price r n twhile rbi credit see slowdown come cut rate appar fault anticip sever econom slump r n thowev central bank unexpectedli paus rate cut decemb indic rbi wait budget qualiti fiscal deficit quantum balanc sheet borrow among other r n thave work three financ minist da also made long stormi rbi board meet non event time consult process even made clear central bank cheer leader anyon r n tall said difficult say whether year floccinaucinihilipilif da maintain panglossian counten smile away everi difficulti r n tmonetari polici committe chetan ghate use letter word floccinaucinihilipilif refer action estim someth worthless r n tthe new year might clear direct answer panglossian way
132,reserv bank india monday bought rs crore year bond secondari market sell rs crore short term bond special open market oper held second time calendar year r ninterestingli instead year bond yield come increas basi point close per cent omo idea omo bring longer term yield push short term yield rise yield despit cut year come per cent cut yield shorter matur paper per cent per cent three paper rbi decid sell particular paper perhap lower yield offer market document write document write googletag cmd push googletag defineoutofpageslot addservic googletag pubad enablesyncrend googletag enableservic n ngoogletag cmd push googletag display n nvar banheight height height next next remov displayconbann r n omo state govern auction calendar came show state would borrow rs crore extra next three month spook market said head treasuri bank r nlast week rbi bought full quota year bond sold rs crore aggreg short term bond matur next year accord senior bond dealer yield rose omo done reflect fundament reflect fact yield need higher clear fear least rs crore extra borrow come close financi r n omo announc brought yield per cent per cent cannot expect yield go even consid rbi paus decemb said bond dealer r nif omo announc bond yield like fall temporarili yield fall price rise lower yield help govern borrow cheaper n n n n r n omo state govern auction calendar came show state would borrow rs crore extra next three month spook market said head treasuri bank r nlast week rbi bought full quota year bond sold rs crore aggreg short term bond matur next year accord senior bond dealer yield rose omo done reflect fundament reflect fact yield need higher clear fear least rs crore extra borrow come close financi r n omo announc brought yield per cent per cent cannot expect yield go even consid rbi paus decemb said bond dealer r nif omo announc bond yield like fall temporarili yield fall price rise lower yield help govern borrow cheaper n n n
133,r n trais strong concern govern move scrap merchant discount rate charg transact done via upi rupay payment system payment council india said move catastroph effect payment compani make busi model unviabl r n taccord pci govern want promot digit payment countri lower control mdr along ad tax benefit merchant would solut document write document write googletag cmd push googletag defineoutofpageslot addservic googletag pubad enablesyncrend googletag enableservic n ngoogletag cmd push googletag display n nvar banheight height height next next remov displayconbann n nmdr rate charg merchant digit payment process servic leverag debit credit card transact usual per cent overal transact amount n r n elimin mdr dri revenu creat catastroph situat new start up fintech compani bank pay servic said vishwa patel chairman pci n r n tquestion govern move revok charg januari sever fintech start up also rais similar concern said move directli affect revenu stream n r n realli benefit cours npci own rupay upi said akash gehani co founder chief oper offic bengaluru base digit payment start instamojo n r n ad tax evas one boon move real benefit put question given compani turnov rs crore alreadi fall certain mandatori tax bracket n r n tthe govern notif underlin firm turnov rs crore offer rupay upi facil custom toward digitis push n r n fact elimin mdr may also result withdraw exist deploy po termin market huge number would advers affect digit payment india said bya nambisan ceo ezetap enterpris focuss digit payment servic provid n r n tterm nationalis sort payment industri pci said zero revenu made million plu rupay debit card activ countri servic provid start withdraw po termin n r n tthese alreadi deploy unviabl small shop establish n r n tcontinu mainten po machin train suppli printer roll increas loss compani n r n thowev player oper prepaid debit card space much worri govern move n r n mdr charg applic debit card prepaid card henc fintech oper prepaid card space impact said shailendra naidu ceo indyfint virtual bank start n nmdr rate charg merchant digit payment process servic leverag debit credit card transact usual per cent overal transact amount r n elimin mdr dri revenu creat catastroph situat new start up fintech compani bank pay servic said vishwa patel chairman pci r n tquestion govern move revok charg januari sever fintech start up also rais similar concern said move directli affect revenu stream r n realli benefit cours npci own rupay upi said akash gehani co founder chief oper offic bengaluru base digit payment start instamojo r n ad tax evas one boon move real benefit put question given compani turnov rs crore alreadi fall certain mandatori tax bracket r n tthe govern notif underlin firm turnov rs crore offer rupay upi facil custom toward digitis push r n fact elimin mdr may also result withdraw exist deploy po termin market huge number would advers affect digit payment india said bya nambisan ceo ezetap enterpris focuss digit payment servic provid r n tterm nationalis sort payment industri pci said zero revenu made million plu rupay debit card activ countri servic provid start withdraw po termin r n tthese alreadi deploy unviabl small shop establish r n tcontinu mainten po machin train suppli printer roll increas loss compani r n thowev player oper prepaid debit card space much worri govern move r n mdr charg applic debit card prepaid card henc fintech oper prepaid card space impact said shailendra naidu ceo indyfint virtual bank start
134,n r n tthe reserv bank india monday propos singl group borrow limit urban cooper bank brought half loan given rs lakh prioriti sector lend target rais steepli n r n tucb target prioriti sector lend propos per cent credit per cent target reach phase per cent march per cent march per cent march document write document write googletag cmd push googletag defineoutofpageslot addservic googletag pubad enablesyncrend googletag enableservic n ngoogletag cmd push googletag display n nvar banheight height height next next remov displayconbann n r n tthe rbi propos singl group borrow limit per cent per cent respect bank tier capit n r n tat present ucb allow exposur per cent per cent capit fund singl borrow group borrow respect n r n turban cooper banker said draft norm similar prescrib small financ bank norm becom rule hamper growth cooper said move seem push ucb becom sfb said n r n tvidyadhar anaskar chairman maharashtra urban cooper bank feder said norm would help risk mitig strengthen sector howev two aspect need relook first exposur per borrow rs lakh small small trader bank facil higher volum need higher amount limit rais least rs lakh said second said prioriti sector requir per cent high n r n tjyotindra mehta presid nation feder urban cooper bank credit societi said bank would abid regul feder send represent discuss member comment draft circular sent rbi januari n r n tthe rbi said norm would save ucb concentr risk focu larger agenda financi inclus creat n n n r n tthe revis exposur limit appli type fresh exposur taken ucb least half loan book ucb compris loan fund non fund rs lakh per borrow exist ucb align loan book reflect march loan purpos includ type fund non fund exposur natur credit exposur case term loan non fund base continu till end repay period matur rbi draft circular said n r n ttier capit core capit bank capit fund compris paid capit free reserv exposur includ fund non fund credit limit underwrit similar commit n r n tin draft circular rbi said larg exposur bank singl borrow group connect borrow led credit concentr risk larg exposur singl parti group becom non perform affect capit net worth concern bank significantli time lead liquid solvenc risk bank draft circular said n r n tthe central bank sought bring larg ticket loan ucb predomin larg ticket loan bank portfolio reduc diversif credit risk also reduc scope greater financi inclus one main role ucb n r n tthe ucb board approv action plan complianc revis exposur norm prioriti sector lend target rbi said ad bank establish appropri mechan regularli monitor progress made action plan n r n tthe reserv bank india monday propos singl group borrow limit urban cooper bank brought half loan given rs lakh prioriti sector lend target rais steepli r n tucb target prioriti sector lend propos per cent credit per cent target reach phase per cent march per cent march per cent march document write document write googletag cmd push googletag defineoutofpageslot addservic googletag pubad enablesyncrend googletag enableservic n ngoogletag cmd push googletag display n nvar banheight height height next next remov displayconbann n r n tthe rbi propos singl group borrow limit per cent per cent respect bank tier capit n r n tat present ucb allow exposur per cent per cent capit fund singl borrow group borrow respect n r n turban cooper banker said draft norm similar prescrib small financ bank norm becom rule hamper growth cooper said move seem push ucb becom sfb said n r n tvidyadhar anaskar chairman maharashtra urban cooper bank feder said norm would help risk mitig strengthen sector howev two aspect need relook first exposur per borrow rs lakh small small trader bank facil higher volum need higher amount limit rais least rs lakh said second said prioriti sector requir per cent high n r n tjyotindra mehta presid nation feder urban cooper bank credit societi said bank would abid regul feder send represent discuss member comment draft circular sent rbi januari n r n tthe rbi said norm would save ucb concentr risk focu larger agenda financi inclus creat n n n r n tthe revis exposur limit appli type fresh exposur taken ucb least half loan book ucb compris loan fund non fund rs lakh per borrow exist ucb align loan book reflect march loan purpos includ type fund non fund exposur natur credit exposur case term loan non fund base continu till end repay period matur rbi draft circular said n r n ttier capit core capit bank capit fund compris paid capit free reserv exposur includ fund non fund credit limit underwrit similar commit n r n tin draft circular rbi said larg exposur bank singl borrow group connect borrow led credit concentr risk larg exposur singl parti group becom non perform affect capit net worth concern bank significantli time lead liquid solvenc risk bank draft circular said n r n tthe central bank sought bring larg ticket loan ucb predomin larg ticket loan bank portfolio reduc diversif credit risk also reduc scope greater financi inclus one main role ucb n r n tthe ucb board approv action plan complianc revis exposur norm prioriti sector lend target rbi said ad bank establish appropri mechan regularli monitor progress made action plan n r n tthe rbi propos singl group borrow limit per cent per cent respect bank tier capit r n tat present ucb allow exposur per cent per cent capit fund singl borrow group borrow respect r n turban cooper banker said draft norm similar prescrib small financ bank norm becom rule hamper growth cooper said move seem push ucb becom sfb said r n tvidyadhar anaskar chairman maharashtra urban cooper bank feder said norm would help risk mitig strengthen sector howev two aspect need relook first exposur per borrow rs lakh small small trader bank facil higher volum need higher amount limit rais least rs lakh said second said prioriti sector requir per cent high r n tjyotindra mehta presid nation feder urban cooper bank credit societi said bank would abid regul feder send represent discuss member comment draft circular sent rbi januari r n tthe rbi said norm would save ucb concentr risk focu larger agenda financi inclus creat n n r n tthe revis exposur limit appli type fresh exposur taken ucb least half loan book ucb compris loan fund non fund rs lakh per borrow exist ucb align loan book reflect march loan purpos includ type fund non fund exposur natur credit exposur case term loan non fund base continu till end repay period matur rbi draft circular said n r n ttier capit core capit bank capit fund compris paid capit free reserv exposur includ fund non fund credit limit underwrit similar commit r n tin draft circular rbi said larg exposur bank singl borrow group connect borrow led credit concentr risk larg exposur singl parti group becom non perform affect capit net worth concern bank significantli time lead liquid solvenc risk bank draft circular said r n tthe central bank sought bring larg ticket loan ucb predomin larg ticket loan bank portfolio reduc diversif credit risk also reduc scope greater financi inclus one main role ucb r n tthe ucb board approv action plan complianc revis exposur norm prioriti sector lend target rbi said ad bank establish appropri mechan regularli monitor progress made action plan
135,r n tthe financi servic arm beleagu infrastructur leas financi servic il fs financi servic report stagger net loss rs crore compar net profit rs crore preced financi year reveal annual report ifin fy r n tthe net revenu compani also nosediv per cent fy rs crore rs crore fy furthermor compani exposur loan mark non perform tune rs crore document write document write googletag cmd push googletag defineoutofpageslot addservic googletag pubad enablesyncrend googletag enableservic n ngoogletag cmd push googletag display n nvar banheight height height next next remov displayconbann n r n ta march ifin loan book rs crore per cent loan non perform perform loan rs crore standard loan rs crore n r n tthe compani liabil end march rs crore ifin classifi red board il fs posit meet debt oblig secur unsecur n r n tthe compani total borrow march variou avenu debt secur bank loan commerci paper intercorpor deposit stood rs crore n r n tfurthermor fy board ifin factor loss vi vi balanc loan receiv invest financi asset aggreg rs crore rs crore rs crore rs crore respect also record net loss fair valu chang rs crore financi asset n r n tthe audit report statutori auditor ifin mukund chital co said huge loss liabil along consist rate downgrad compani abil rais fund substanti impair normal busi oper curtail n r n talso compani breach condit hold certif registr non bank financi compani issu reserv bank india n r n tifin breach minimum capit ratio tier tier capit compani capit adequaci ratio per cent accord rbi norm nbfc compani requir maintain regul capit adequaci ratio minimum per cent minimum tier capit per cent tier capit also refer net own fund ifin report neg net own fund fy although accord rbi mandat compani requir net own fund rs crore hold nbfc licenc n r n thenc statutori auditor opinion given exist materi uncertainti may cast signific doubt compani abil continu go concern unabl comment whether compani abl continu go concern n r n tin fy seriou fraud investig offic conduct investig affair compani found erstwhil auditor ifin deloitt haskin sell bsr associ awar ifin lend default borrow group compani could suppress non perform asset provid bad debt alleg auditor fail verifi end use bank financ money rais non convert debentur despit regulatori mandat n r n tthe sfio complaint also said auditor falsifi book account fy report neg net own fund well neg capit risk asset ratio report nation compani law tribun permit reopen book account recast financi statement ifin n r n ta march ifin loan book rs crore per cent loan non perform perform loan rs crore standard loan rs crore r n tthe compani liabil end march rs crore ifin classifi red board il fs posit meet debt oblig secur unsecur r n tthe compani total borrow march variou avenu debt secur bank loan commerci paper intercorpor deposit stood rs crore r n tfurthermor fy board ifin factor loss vi vi balanc loan receiv invest financi asset aggreg rs crore rs crore rs crore rs crore respect also record net loss fair valu chang rs crore financi asset r n tthe audit report statutori auditor ifin mukund chital co said huge loss liabil along consist rate downgrad compani abil rais fund substanti impair normal busi oper curtail r n talso compani breach condit hold certif registr non bank financi compani issu reserv bank india r n tifin breach minimum capit ratio tier tier capit compani capit adequaci ratio per cent accord rbi norm nbfc compani requir maintain regul capit adequaci ratio minimum per cent minimum tier capit per cent tier capit also refer net own fund ifin report neg net own fund fy although accord rbi mandat compani requir net own fund rs crore hold nbfc licenc r n thenc statutori auditor opinion given exist materi uncertainti may cast signific doubt compani abil continu go concern unabl comment whether compani abl continu go concern r n tin fy seriou fraud investig offic conduct investig affair compani found erstwhil auditor ifin deloitt haskin sell bsr associ awar ifin lend default borrow group compani could suppress non perform asset provid bad debt alleg auditor fail verifi end use bank financ money rais non convert debentur despit regulatori mandat r n tthe sfio complaint also said auditor falsifi book account fy report neg net own fund well neg capit risk asset ratio report nation compani law tribun permit reopen book account recast financi statement ifin
